textDisplay,likeCount,remove_user,cleaning,tokenized_Content
"Company2 indo abuse AI, cari jalan instan, gratis dan ga bayar real artist : &quot;i sleep&quot;<br><br>BNI make real artist and good VA : &quot;REAL SH*T&quot;",2.0,"Company2 indo abuse AI, cari jalan instan, gratis dan ga bayar real artist : &quot;i sleep&quot;<br><br>BNI make real artist and good VA : &quot;REAL SH*T&quot;",Company indo abuse AI cari jalan instan gratis dan ga bayar real artist quot i sleep quot BNI make real artist and good VA quot REAL SH T quot ,"['""Company2""', '""indo""', '""abuse""', '""AI""', '"",""', '""cari""', '""jalan""', '""instan""', '"",""', '""gratis""', '""dan""', '""ga""', '""bayar""', '""real""', '""artist""', '"":""', '""&""', '""quot""', '"";""', '""i""', '""sleep""', '""&""', '""quot""', '"";""', '""<""', '""br""', '"">""', '""<""', '""br""', '"">""', '""BNI""', '""make""', '""real""', '""artist""', '""and""', '""good""', '""VA""', '"":""', '""&""', '""quot""', '"";""', '""REAL""', '""SH""', '""*""', '""T""', '""&""', '""quot""', '"";""']"
Yoooo,0.0,Yoooo,Yoooo,"['""Yoooo""']"
Wohoo... tembus 1jt penonton 🎉🎉,0.0,Wohoo... tembus 1jt penonton 🎉🎉,Wohoo tembus jt penonton ,"['""Wohoo""', '""...""', '""tembus""', '""1jt""', '""penonton""', '""🎉🎉""']"
Kita mendapatkan iklan anime bni sebelum GTA 6🗣🔥🔥,2.0,Kita mendapatkan iklan anime bni sebelum GTA 6🗣🔥🔥,Kita mendapatkan iklan anime bni sebelum GTA ,"['""Kita""', '""mendapatkan""', '""iklan""', '""anime""', '""bni""', '""sebelum""', '""GTA""', '""6🗣🔥🔥""']"
"Minttt buat ampe satu seson mint, 12 epsd lah minimal 😂.<br>BNI Slice of Life 😂🎉<br><br>Lewat fyp, Menyalaa algoritma YT kuuhh ✌🏻🤟🏻🔥🔥🔥",2.0,"Minttt buat ampe satu seson mint, 12 epsd lah minimal 😂.<br>BNI Slice of Life 😂🎉<br><br>Lewat fyp, Menyalaa algoritma YT kuuhh ✌🏻🤟🏻🔥🔥🔥",Minttt buat ampe satu seson mint epsd lah minimal BNI Slice of Life Lewat fyp Menyalaa algoritma YT kuuhh ,"['""Minttt""', '""buat""', '""ampe""', '""satu""', '""seson""', '""mint""', '"",""', '""12""', '""epsd""', '""lah""', '""minimal""', '""😂.""', '""<""', '""br""', '"">""', '""BNI""', '""Slice""', '""of""', '""Life""', '""😂🎉""', '""<""', '""br""', '"">""', '""<""', '""br""', '"">""', '""Lewat""', '""fyp""', '"",""', '""Menyalaa""', '""algoritma""', '""YT""', '""kuuhh""', '""✌🏻🤟🏻🔥🔥🔥""']"
Mei is waifuuu wkwkwkw,0.0,Mei is waifuuu wkwkwkw,Mei is waifuuu wkwkwkw,"['""Mei""', '""is""', '""waifuuu""', '""wkwkwkw""']"
Speaking japanese while chatting in indonesian is wild,0.0,Speaking japanese while chatting in indonesian is wild,Speaking japanese while chatting in indonesian is wild,"['""Speaking""', '""japanese""', '""while""', '""chatting""', '""in""', '""indonesian""', '""is""', '""wild""']"
Yokatttaa 😂,0.0,Yokatttaa 😂,Yokatttaa ,"['""Yokatttaa""', '""😂""']"
NAIKAN GAJI AUTHOR!!!!,2.0,NAIKAN GAJI AUTHOR!!!!,NAIKAN GAJI AUTHOR ,"['""NAIKAN""', '""GAJI""', '""AUTHOR""', '""!""', '""!""', '""!""', '""!""']"
Better than gembok biru,2.0,Better than gembok biru,Better than gembok biru,"['""Better""', '""than""', '""gembok""', '""biru""']"
